BankWallet,Sum of Countries Worth,Avg Tile Price, % of Tiles Sold,Number of Active Players,% of Player's money spend,All Active Players Wallets, All Active Players Product-Portfolios,Quitting Players Wallets
9762938.166427104928103770386,10021517.867911460143375033782,2.0257736745786195302994075888,8.134590781492504,33596,79.97606371077714,222372.14563864777395624858483,17965986.298022975214600326033,2209.9216746029956870563422921
9976987.217968653689276431817,10245052.039978920757825222980,2.0700581328658980072366860109,8.21692703124876,33873,81.11325858913024,215100.46356468650372734458957,18601741.560872686185148102561,2247.9942563865598999582822707
10186248.687221374690272448310,10460950.071787948906985199085,2.1053316980561142658107867797,8.295570604394342,34081,82.15221509145374,215753.08086075165008600578222,19156420.179419973939663502055,2581.2070888506561355516923137
10366172.797583332704349283266,10646581.547997354318172381458,2.1359847278010130575781192603,8.361809132826961,34279,83.11301851529804,209152.92386562665747422840389,19634454.215369773246294809286,2733.0518456921065849485323021
10520812.263182292603223885220,10807814.734023073249896669731,2.1645864434891231222628188365,8.41770294741879,34493,83.85533539870983,203714.58936966208343125801507,20082216.329244604824772355122,2879.8531522589796251717102911
10661346.718911081379048711497,10955459.084119563600690505466,2.1974039128042758970800176813,8.467610189470063,34673,84.48437871642308,199433.30897876565251426842739,20539250.503237938366032710563,2916.2249269209397894264964409
10797808.056992508197141626402,11097931.192272421434343162331,2.2266025188524122513655918886,8.51514394079525,34852,85.1753968901584,194317.96590077721063204102995,20974200.543128043250240071882,3264.6868581762037240786109977
10912504.516979404377880136835,11219635.740187048081915659564,2.2575448295461752458162066867,8.55446246528623,35009,85.73039909682682,193568.41888877965566393966037,21397956.329405661061805189276,3310.2992475263367698175170290
11026465.269684917297633946090,11339459.689178765038741352355,2.2874347435351521698255658508,8.592825852222788,35165,86.28111099831975,192782.46341374955672175938053,21810313.728752434190383595722,3489.8200971299292748510212473
11144706.449537161038109160240,11461926.556053334199049349294,2.3156842170368004388161455493,8.631983882288639,35300,86.82368650779165,185466.59467491897172115479040,22209390.090691096955880629293,3682.2514148993756613436094430
11245150.613449136365715884901,11565916.213882017187991211082,2.3394259346214703651296969302,8.664748232003852,35432,87.1973336406034,178503.73304500444327183888011,22560044.109600269575680646073,3858.5351610726219143289320218
11343380.225488336565689821594,11668905.824736199354320167545,2.3660951344992969200133227545,8.696379986914094,35546,87.63927405263847,172746.58053354449040172999621,22934095.438795011732437460748,3912.7234343076323751541191202
11455391.699552673270901637299,11784745.672854120340791406905,2.3888716165025577463391230412,8.731915801336399,35671,88.12382078654703,167551.19735576782256329956670,23276494.323571631794315081907,4050.1531303518940138875125853
11539147.400734355804357705952,11872611.538780931964499179747,2.4100164664966816373632025773,8.758179474417554,35762,88.4945501182689,165253.47224754239245684244726,23570072.253925067160038947305,4358.1053542490233238310815927
11627875.315428285093345543678,11964704.129250257126866931251,2.4298871305366065491735265068,8.785693177248895,35877,88.87550618482209,163738.52189370965894610270129,23864631.413264948069932311775,4412.9994032678586928605425349
11702998.662277914839509466071,12042089.567764786835153977441,2.4492756375200063335494802068,8.808735218332963,35976,89.22190595312348,157324.11346920853966747750115,24139376.730819911838028741209,4559.1055503890735914584929411
11773735.095850574535887448376,12115790.805458965850908687946,2.4651574106752163980749718924,8.830241471300152,36045,89.57652566162754,152496.88652600820660922694417,24377559.475674685054501810699,4749.5281024966447518499770484
11847954.664406223204063098061,12191781.093666911452230191044,2.4833424700562977328584189268,8.852616742861938,36140,89.8794077281416,148823.65490756574874676740744,24629591.324489566068970626754,4791.7459707135204019155702294
11915669.494174554351094253944,12262687.434642326349027166812,2.502739480011733586496992246,8.872839040428103,36235,90.14841205078979,145560.06378666093851683189815,24906371.989717868777687975451,4804.8714480701487000984223058
